№,Название,Цена
1,картридж для фильтра AL-KO JET F/HWF,789₽/шт.
2,станция насосная AL-KO HW 3000 INOX 650Вт 3120л/ч,13 990₽/шт.
3,"клапан обратный 3/4"" с фильтром",559₽/шт.
4,"клапан обратный 1"" с фильтром",639₽/шт.
5,помпа ручная для воды,378₽/шт.
6,"фильтр для вибрационных насосов с верхним и нижним забором, малый",195₽/шт.
7,помпа механическая для воды 64см,339₽/шт.
8,"фильтр для вибрационных насосов с верхним и нижним забором,большой",480₽/шт.
9,станция насосная DAEWOO DAS 4000/24,17 590₽/шт.
10,насос поверхностный DAEWOO DGP 4000 INOX 1300Вт 4000л/ч,10 990₽/шт.
11,насос поверхностный DAEWOO DGP 6000 INOX 1500Вт 6000л/ч,13 990₽/шт.
12,насос погружной дренажный DAEWOO DDP 15000P 1100Вт 15000л/ч,7 399₽/шт.
13,насос скважинный DAEWOO DBP 1800 750Вт 1800л/ч,9 999₽/шт.
14,насос скважинный DAEWOO DBP 2500 1200Вт 2500л/ч,11 390₽/шт.
15,комплект автоматики с г/а 5л UNIPUMP АКВАРОБОТ М,2 913₽/шт.
16,"колба фильтра для воды UNIPUMP 10"" CFC-10K 1"" с картриджем SC-10W",1 234₽/шт.
17,"колба фильтра для воды UNIPUMP 5 CFC-5K 1"" с картриджем NT-5",1 043₽/шт.
18,"реле давления UNIPUMP РМ/5 (м) 1/4""",654₽/шт.
19,"реле давления UNIPUMP РМ/5 (п) 1/4""",653₽/шт.
20,реле давления с манометром UNIPUMP РМ/5-3W,1 071₽/шт.
21,выключатель поплавковый 3м для насосов,1 155₽/шт.
22,"реле давления UNIPUMP РМ/5 1/4"" вращающаяся гайка",825₽/шт.
23,картридж для фильтра AL-KO 100/1,550₽/шт.
24,картридж для фильтра AL-KO 250/1,689₽/шт.
25,насос вибрационный UNIPUMP Бавленец-М 40м 245Вт 1600л/ч верхний забор,3 759₽/шт.
26,насос вибрационный UNIPUMP Бавленец-М 10м 245Вт 1600л/ч верхний забор,2 890₽/шт.
27,насос погружной дренажный AL-KO Drain 20000 HD 1300Вт 20000л/ч,11 990₽/шт.
28,"блок автоматики UNIPUMP Акваробот турбипресс М2 1,5 кВт двухпороговый",3 024₽/шт.
29,"колба фильтра для воды 10"" CFC-10K 1/2"" с картриджем SC-10W",1 152₽/шт.
30,насос вибрационный UNIPUMP Бавленец-БВ 15м 245Вт 1600л/ч нижний забор,3 105₽/шт.
31,насос поверхностный AL-KO Jet 3600 850Вт 3420л/ч,10 990₽/шт.
32,комплект ремонтный HOZELOCK,399₽/шт.
33,ремкомплект для электронасоса Бавленец,313₽/шт.
34,помпа ручная для воды с краном MP-У пластик,779₽/шт.
35,насос поверхностный REDVERG RD-VP40,3 490₽/шт.
36,насос вибрационный REDVERG RD-VP70B/10,2 390₽/шт.
37,насос вибрационный REDVERG RD-VP70H/10,2 440₽/шт.
38,насос вибрационный REDVERG RD-VP70B/25,2 990₽/шт.
39,насос вибрационный REDVERG RD-VP70H/25,2 590₽/шт.
40,насос погружной дренажный REDVERG RD-SPP750/25,4 590₽/шт.
41,насос скважинный REDVERG RD-DWP3/90S,7 990₽/шт.
42,насос для полива из бочки 400Вт 5200л/ч,3 990₽/шт.
43,насос поверхностный MAXITERRA 600Вт 2800л/ч,5 552₽/шт.
44,насос погружной дренажный MAXITERRA 1000Вт 5500л/ч,9 990₽/шт.
45,насос скважинный MAXITERRA 550Вт 1920л/ч,6 990₽/шт.
46,насос скважинный MAXITERRA 750Вт 2880л/ч,8 490₽/шт.
47,насос погружной дренажный GEOS Drain 7000 Classic 350Вт 7000л/ч,4 653₽/шт.
48,насос вибрационный REDVERG RD-VP70H/40 нижний забор,3 190₽/шт.
49,насос скважинный REDVERG RD-DWP4/40 550Вт 4200л/ч,17 490₽/шт.
50,станция насосная UNIPUMP AUTO ECO JET 100 LA 750Вт 3000л/ч,12 458₽/шт.
51,гидроаккумулятор UNIPUMP 24л,2 580₽/шт.
52,"колба фильтра для воды UNIPUMP 10"" CFC-10K 3/4 с картриджем SC-10W",1 157₽/шт.
53,гидроаккумулятор UNIPUMP 50л,5 189₽/шт.
54,штуцер 5-ти выводной 90мм латунь,829₽/шт.
55,насос погружной дренажный UNIPUMP SUB 407 P 400Вт 7200л/ч,6 405₽/шт.
56,насос для полива из бочки DAEWOO DCP 4500,6 490₽/шт.
57,насос дренажный DAEWOO DDP 13500,6 990₽/шт.
58,насос дренажный DAEWOO DDP 19500,7 990₽/шт.
59,насос колодезный DAEWOO DHP 3500,6 990₽/шт.
60,насос погружной AL-KO DIVE 6500/34 Premium 1000Вт 6500л/ч,11 990₽/шт.
61,насос погружной дренажный GEOS TK 250 Eco 250Вт 6000л/ч,3 190₽/шт.
62,станция насосная OASIS MS-33/31С-2 370Вт 1980л/ч,6 829₽/шт.
63,станция насосная OASIS S-40/36C-19 370Вт 2400л/ч,9 999₽/шт.
64,станция насосная OASIS S-60/37С-24 750Вт 3600л/ч,11 699₽/шт.
65,реле давления REDVERG RD-PR1,3 490₽/шт.
66,"датчик сухого хода OASIS PC-9G 1/4""",579₽/шт.
67,"клапан поплавковый с рычагом MASTERPROF 29см 3/4""",963₽/шт.
68,насос поверхностный OASIS P-70/50C 1100Вт 4200л/ч,8 539₽/шт.
69,насос поверхностный OASIS P-370V 370Вт 2100л/ч,4 289₽/шт.
70,насос вибрационный RedVerg RD-VP70B/40,3 290₽/шт.
71,насос погружной дренажный OASIS DB 87/11 400Вт 5220л/ч,3 429₽/шт.
72,насос погружной дренажный OASIS DN 150/6 400Вт 9000л/ч,3 466₽/шт.
73,насос погружной дренажный OASIS DN 247/9 880Вт 14820л/ч,4 633₽/шт.
